file,commits
program/databases/db_tests, 317
program/plugins/nikto_core.plugin, 106
program/databases/db_variables, 50
program/plugins/nikto_headers.plugin, 45
program/databases/db_outdated, 37
program/databases/db_favicon, 29
program/nikto.pl, 27
program/databases/db_headers, 24
program/databases/db_subdomains, 20
program/docs/CHANGES.txt, 19
program/plugins/nikto_report_sqlg.plugin, 18
program/plugins/nikto_auth.plugin, 18
program/plugins/nikto_tests.plugin, 18
program/plugins/nikto_report_csv.plugin, 15
program/databases/db_server_msgs, 15
program/plugins/nikto_report_xml.plugin, 15
program/plugins/nikto_report_html.plugin, 14
program/plugins/nikto_httpoptions.plugin, 14
program/plugins/nikto_clientaccesspolicy.plugin, 14
program/databases/db_content_search, 14
program/plugins/nikto_report_text.plugin, 13
program/databases/db_realms, 13
program/plugins/nikto_fileops.plugin, 13
program/plugins/nikto_sitefiles.plugin, 12
program/plugins/nikto_report_nbe.plugin, 12
program/databases/db_multiple_index, 12
program/nikto.conf, 11
program/databases/db_404_strings, 11
program/plugins/nikto_robots.plugin, 11
documentation/sections/options.xml, 11
program/plugins/nikto_domino.plugin, 11
program/plugins/nikto_ssl.plugin, 10
program/plugins/nikto_favicon.plugin, 10
program/databases/db_httpoptions, 10
program/plugins/nikto_outdated.plugin, 10
program/plugins/nikto_subdomain.plugin, 10
program/plugins/nikto_shellshock.plugin, 10
program/plugins/nikto_msgs.plugin, 9
program/plugins/nikto_dictionary_attack.plugin, 9
program/plugins/nikto_multiple_index.plugin, 9
program/plugins/nikto_apacheusers.plugin, 8
program/plugins/nikto_cookies.plugin, 8
program/plugins/nikto_embedded.plugin, 8
program/replay.pl, 7
program/databases/db_dictionary, 7
program/plugins/nikto_apache_expect_xss.plugin, 7
program/databases/db_embedded, 7
program/plugins/nikto_negotiate.plugin, 7
program/plugins/nikto_siebel.plugin, 7
program/docs/manual.xml, 7
program/plugins/nikto_put_del_test.plugin, 7
program/plugins/nikto_ms10_070.plugin, 7
program/plugins/nikto_content_search.plugin, 7
program/plugins/nikto_dir_traversal.plugin, 6
program/databases/db_parked_strings, 6
program/plugins/nikto_paths.plugin, 6
program/templates/htm_host_item.tmpl, 6
program/templates/htm_start.tmpl, 6
program/databases/db_drupal, 6
program/plugins/nikto_drupal.plugin, 6
documentation/doc.xml, 6
program/plugins/nikto_cgi.plugin, 6
program/docs/nikto_manual.html, 5
program/plugins/nikto_parked.plugin, 5
README.md, 5
program/databases/db_domino, 5
program/plugins/LW2.pm, 5
program/templates/htm_host_head.tmpl, 5
program/templates/htm_host_im.tmpl, 5
program/templates/htm_summary.tmpl, 5
program/plugins/nikto_sitezip.plugin, 4
program/templates/htm_end.tmpl, 4
program/plugins/nikto_report_json.plugin, 4
program/databases/db_dir_traversal, 3
documentation/nikto.1, 3
program/docs/nikto.dtd, 3
program/templates/xml_end.tmpl, 3
program/templates/htm_stop.tmpl, 3
program/templates/xml_start.tmpl, 3
program/plugins/nikto_report_msf.plugin, 3
devdocs/documentation_notes.txt, 3
program/templates/htm_close.tmpl, 3
program/templates/xml_host_item.tmpl, 2
program/templates/xml_close.tmpl, 2
program/docs/nikto.1, 2
program/plugins/JSON-PP.pm, 1
documentation/sections/authors.xml, 1
documentation/sections/files.xml, 1
documentation/doc.css, 1
devdocs/perltidyrc, 1
program/manual.xml, 1
documentation/manpage.xml, 1
.editorconfig, 1
documentation/sections/bugs.xml, 1
program/templates/xml_host_im.tmpl, 1
documentation/sections/description.xml, 1
.gitignore, 1
program/templates/xml_host_head.tmpl, 1
program/docs/LICENSE.txt, 1
documentation/config.xsl, 1
