id0 id1 time
"LICENSE" "README.md" 2
"LICENSE" "TPOT/TPOT.py" 2
"LICENSE" "TPOT/__init__.py" 2
"README.md" "TPOT/TPOT.py" 2
"README.md" "TPOT/__init__.py" 2
"TPOT/TPOT.py" "TPOT/__init__.py" 2
".gitignore" "TPOT/TPOT.py" 3
".gitignore" "TPOT/__init__.py" 3
"TPOT/TPOT.py" "TPOT/__init__.py" 3
"TPOT/TPOT.py" "tests.py" 7
"README.md" "requirements.txt" 12
"README.md" "setup.py" 12
"README.md" "tpot/tpot.py" 12
"README.md" "version.py" 12
"requirements.txt" "setup.py" 12
"requirements.txt" "tpot/tpot.py" 12
"requirements.txt" "version.py" 12
"setup.py" "tpot/tpot.py" 12
"setup.py" "version.py" 12
"tpot/tpot.py" "version.py" 12
"README.md" "tpot/tpot.py" 25
"README.md" "tpot/tpot.py" 26
"README.md" "tpot/tpot.py" 27
".gitignore" "Testing TPOT usage.ipynb	" 30
".gitignore" "tpot/tpot.py" 30
"Testing TPOT usage.ipynb	" "tpot/tpot.py" 30
"MANIFEST.in" "setup.py" 31
"MANIFEST.in" "tpot/__init__.py" 31
"setup.py" "tpot/__init__.py" 31
".gitignore" ".travis.yml" 34
".gitignore" "ci/.travis_install.sh" 34
".gitignore" "ci/.travis_test.sh" 34
".travis.yml" "ci/.travis_install.sh" 34
".travis.yml" "ci/.travis_test.sh" 34
"ci/.travis_install.sh" "ci/.travis_test.sh" 34
"Testing TPOT usage.ipynb	" "tpot/tpot.py" 35
"README.md" "setup.py" 36
"README.md" "tpot/__init__.py" 36
"README.md" "tpot/tpot.py" 36
"setup.py" "tpot/__init__.py" 36
"setup.py" "tpot/tpot.py" 36
"tpot/__init__.py" "tpot/tpot.py" 36
"README.md" "setup.py" 38
"README.md" "tpot/__init__.py" 38
"setup.py" "tpot/__init__.py" 38
"README.md" "ci/.travis_install.sh" 43
".travis.yml" "ci/.travis_install.sh" 44
".landscape.yaml" "README.md" 52
".coveragerc" "README.md" 54
"tests.py" "tpot/tpot.py" 64
".coveragerc" ".travis.yml" 68
".gitignore" "docs/mkdocs.yml" 81
".gitignore" "docs/sources/changelog.md" 81
".gitignore" "docs/sources/contributing.md" 81
".gitignore" "docs/sources/examples/MNIST_Example.md" 81
".gitignore" "docs/sources/examples/Using_TPOT_via_code.md" 81
".gitignore" "docs/sources/examples/Using_TPOT_via_the_command_line.md" 81
".gitignore" "docs/sources/index.md" 81
".gitignore" "docs/sources/installing.md" 81
"docs/mkdocs.yml" "docs/sources/changelog.md" 81
"docs/mkdocs.yml" "docs/sources/contributing.md" 81
