"commit" "degree" "betweenness" "closeness" "distance" "diameter" "network.size" "connected.rate" "cc.size" "transitivity"
"1" 3 0.590909090909091 0 8.10771262668435e-06 1 1 352 0.0227272727272727 8 1
"2" 4 0.590909090909091 0 8.10771262668435e-06 1 1 352 0.0227272727272727 8 1
"3" 5 0.590909090909091 0 8.10771262668435e-06 1 1 352 0.0227272727272727 8 1
"4" 6 0.625 0.09375 8.11308452931284e-06 1.23076923076923 2 352 0.0227272727272727 8 0.963455149501661
"5" 7 0.681818181818182 0.710227272727273 8.13023061732936e-06 1.95057034220532 4 352 0.0653409090909091 23 0.90519877675841
"6" 8 0.6875 0.823863636363636 8.13353501575791e-06 2.01398601398601 4 352 0.0681818181818182 24 0.895161290322581
"7" 9 0.704545454545455 1.04545454545455 8.14062688752166e-06 2.09850746268657 4 352 0.0738636363636364 26 0.876106194690266
"8" 10 0.710227272727273 1.04545454545455 8.14075790536182e-06 2.0952380952381 4 352 0.0738636363636364 26 0.876106194690266
"9" 11 0.710227272727273 1.04545454545455 8.14075790536182e-06 2.0952380952381 4 352 0.0738636363636364 26 0.876106194690266
"10" 12 0.715909090909091 1.04545454545455 8.14075790536182e-06 2.0952380952381 4 352 0.0738636363636364 26 0.876106194690266
"11" 13 0.75 1.04545454545455 8.14075790536182e-06 2.0952380952381 4 352 0.0738636363636364 26 0.876106194690266
"12" 14 0.755681818181818 1.15340909090909 8.14454834613543e-06 2.12154696132597 4 352 0.0767045454545455 27 0.865889212827988
"13" 15 0.755681818181818 1.15340909090909 8.14454834613543e-06 2.12154696132597 4 352 0.0767045454545455 27 0.865889212827988
"14" 16 0.761363636363636 1.26420454545455 8.14850307117304e-06 2.1439588688946 4 352 0.0795454545454545 28 0.855086372360845
"15" 17 0.767045454545455 1.37784090909091 8.15262359661947e-06 2.16306954436451 4 352 0.0823863636363636 29 0.84375
"16" 18 0.784090909090909 1.78977272727273 8.16120963542369e-06 2.32631578947368 5 352 0.0880681818181818 31 0.836295603367633
"17" 19 0.801136363636364 1.64772727272727 8.16123185555457e-06 2.22105263157895 4 352 0.0880681818181818 31 0.819178082191781
"18" 20 0.806818181818182 1.60511363636364 8.16123852211376e-06 2.18947368421053 4 352 0.0880681818181818 31 0.81008100810081
"19" 21 0.806818181818182 1.60511363636364 8.16123852211376e-06 2.18947368421053 4 352 0.0880681818181818 31 0.81008100810081
"20" 22 0.823863636363636 1.89488636363636 8.17065826709728e-06 2.23977695167286 4 352 0.09375 33 0.792105263157895
"21" 23 0.829545454545455 2.04545454545455 8.17562754526926e-06 2.26094570928196 4 352 0.0965909090909091 34 0.781818181818182
"22" 24 0.846590909090909 2.32954545454545 8.18609764616243e-06 2.28125 4 352 0.102272727272727 36 0.761344537815126
