Number.of.files
5
1
1
2
2
0
0
1
1
5
2
10
2
4
2
2
1
0
1
3
2
1
3
4
1
1
2
22
1
9
1
1
1
2
1
1
1
1
1
1
1
1
1
1
1
1
1
4
1
2
3
1
1
1
8
1
1
1
1
1
1
1
4
1
1
1
1
3
1
1
1
1
1
1
2
1
1
1
1
1
1
1
3
1
8
1
2
2
2
4
5
4
0
5
3
1
2
1
1
2
1
2
1
4
3
3
2
4
4
3
1
1
2
1
1
1
1
2
7
5
1
1
3
1
1
1
2
2
1
1
2
0
6
2
2
1
1
2
5
10
1
2
1
1
2
2
1
4
1
2
1
2
1
2
1
5
1
1
1
5
1
1
2
1
1
1
10
0
1
1
1
1
0
1
0
0
12
1
1
1
1
1
1
1
1
2
1
2
4
1
2
1
6
1
1
2
1
1
1
0
5
1
1
3
2
1
2
6
1
1
1
1
0
0
2
1
6
4
1
6
1
0
1
1
2
17
2
1
5
1
1
1
5
5
2
1
1
1
0
1
0
0
21
13
1
2
2
2
3
1
1
2
1
1
1
3
2
0
1
2
1
1
1
1
6
1
0
8
0
1
1
1
2
2
1
1
1
1
1
1
2
0
1
1
2
1
1
1
3
1
1
1
1
2
1
0
1
1
1
2
0
1
1
1
1
2
2
1
1
1
2
2
1
1
5
1
1
2
1
8
1
1
1
0
1
6
1
14
1
1
1
2
2
1
1
2
1
1
1
1
1
1
2
1
1
2
2
1
0
3
2
3
1
1
3
1
1
9
3
1
1
1
2
1
2
7
2
1
3
1
1
6
1
1
1
2
2
0
2
2
1
3
1
1
1
5
3
2
1
1
2
1
1
3
1
2
2
2
2
2
6
1
2
3
1
3
1
2
1
1
2
1
3
1
1
2
2
2
1
5
2
1
1
1
2
1
2
4
2
1
1
1
2
2
1
0
1
2
2
1
1
2
1
2
1
5
2
1
1
1
1
2
2
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
2
1
1
1
2
1
1
1
1
3
1
1
1
1
1
1
2
1
1
1
5
1
1
1
1
2
2
1
1
1
1
1
1
1
2
1
2
2
1
1
1
2
2
1
1
0
1
2
2
2
1
1
1
2
2
2
2
1
1
2
1
1
1
1
1
2
2
1
1
1
5
1
2
4
1
2
3
1
1
1
1
1
2
1
3
1
1
3
1
1
1
0
3
2
1
3
1
2
2
2
9
27
1
1
1
1
2
2
2
1
0
1
1
1
2
1
2
0
1
2
2
1
2
2
1
1
2
1
4
1
1
1
3
3
1
1
1
2
1
1
1
1
5
1
1
1
1
1
1
1
2
1
1
4
1
1
2
2
5
1
1
1
1
3
1
1
2
1
2
1
1
2
4
2
1
2
2
4
1
16
2
3
7
1
1
1
2
1
1
1
1
6
1
1
2
1
1
2
1
24
1
2
2
1
1
1
1
1
1
1
1
1
4
1
2
1
1
2
3
2
1
1
2
1
1
2
1
4
1
3
1
1
3
1
1
1
2
2
1
1
1
2
1
2
1
4
1
1
1
1
1
1
2
2
1
1
2
1
1
1
1
1
1
1
1
2
3
1
2
1
1
2
1
2
2
2
1
1
1
1
1
2
1
1
1
2
3
1
1
1
1
1
1
23
3
2
0
3
1
1
1
1
1
1
1
3
4
1
1
1
2
1
1
1
0
2
3
7
1
1
2
2
1
2
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
2
2
1
1
3
1
1
1
1
6
1
1
3
1
1
1
2
7
1
3
1
1
1
1
12
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
3
1
1
1
3
1
1
1
2
2
1
2
1
1
1
1
0
1
2
2
2
1
1
1
1
1
1
1
9
10
1
1
1
5
1
5
1
2
2
1
2
2
1
1
1
1
1
1
1
1
1
4
2
1
2
1
1
1
2
1
1
1
1
1
2
4
1
1
1
1
1
2
2
2
2
2
1
1
1
1
0
1
2
1
1
2
2
3
5
1
1
2
1
2
2
1
1
3
1
1
1
1
1
0
3
1
1
1
1
2
1
1
1
1
2
1
1
2
2
3
1
1
1
1
1
1
1
1
1
1
3
2
1
1
2
1
10
1
4
1
1
2
1
1
3
1
2
1
1
1
1
1
1
1
1
1
1
1
3
1
1
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
5
4
2
1
4
3
1
2
1
1
1
2
1
2
2
2
2
3
1
7
1
3
1
1
1
1
1
1
1
1
1
1
1
1
1
1
3
1
4
2
1
5
1
1
2
1
1
1
2
2
1
4
1
3
2
1
3
2
1
3
2
1
3
1
3
1
2
1
1
4
2
2
1
1
1
2
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
2
2
1
1
1
1
2
1
2
1
1
3
1
1
1
1
1
1
1
2
2
4
1
0
2
0
1
1
1
1
2
1
1
7
2
1
2
2
1
1
1
1
1
1
3
2
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
2
1
1
1
1
1
2
2
3
1
1
3
1
1
2
1
1
1
2
3
2
1
1
1
1
1
1
1
4
1
1
1
1
3
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
2
1
1
0
3
1
1
1
1
1
1
1
1
1
1
1
1
1
2
1
1
1
1
1
1
2
1
1
2
1
1
3
1
1
1
1
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
3
3
1
1
1
1
1
1
1
1
1
2
1
1
1
1
1
1
3
1
1
1
2
2
1
1
1
1
1
1
1
2
1
2
1
1
1
2
1
1
1
1
3
2
1
1
1
1
1
1
1
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
1
1
1
1
3
1
1
1
1
1
1
1
1
1
2
2
1
3
1
1
3
1
1
1
1
1
3
1
1
1
1
1
1
1
1
1
3
5
1
1
1
1
1
2
2
1
1
1
1
1
1
1
2
4
1
2
1
1
1
1
1
1
1
1
1
2
1
3
1
1
1
1
1
0
1
1
1
1
1
1
1
1
1
1
4
1
1
1
1
1
1
1
2
1
1
2
1
1
1
2
1
1
1
1
1
1
1
2
1
1
1
1
30
1
1
1
1
1
2
2
2
2
1
4
1
1
4
2
1
2
2
1
3
0
1
3
1
1
25
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
3
1
1
1
1
1
1
1
1
10
14
1
