"extension" "betweenness" "degree"
"1" "gitignore" 16784.5759023551 251
"2" "jshintrc" 1596.73523075871 72.5
"3" "js" 770.551960336184 54.8844169246646
"4" "json" 14143.8857431552 82.7333333333333
"5" "html" 670.258913438787 33.5813953488372
"6" "md" 778.903344060662 25.2272727272727
"7" "css" 47.4503393341521 14.9565217391304
"8" "npmignore" 31.607534262724 21
"9" "map" 0 6
"10" "yml" 628.953109239364 85.5
"11" "" 0 6.5
"12" "LICENSE" 17.5642573431885 22
"13" "eslintrc" 1216.52211777336 66
"14" "bithoundrc" 0 1
"15" "sh" 252.435487082372 84.5
"16" "babelrc" 535.675173686294 56
"17" "flowconfig" 2217.01976355423 98
"18" "eslintignore" 0 12
"19" "log" 0 8
"20" "ts" 43.1721473344473 10.1111111111111
"21" "lock" 83.6009472029259 14
