id0 id1 time
"t/swamp/0" "t/swamp/groceries/meat" 48
"t/swamp/0" "t/swamp/groceries/subdir/fruit" 48
"t/swamp/0" "t/swamp/groceries/subdir/junk" 48
"t/swamp/0" "t/swamp/groceries/subdir/meat" 48
"t/swamp/0" "t/swamp/html.htm" 48
"t/swamp/0" "t/swamp/html.html" 48
"t/swamp/0" "t/swamp/incomplete-last-line.txt" 48
"t/swamp/0" "t/swamp/javascript.js" 48
"t/swamp/0" "t/swamp/not-an-#emacs-workfile#" 48
"t/swamp/0" "t/swamp/notaMakefile" 48
"t/swamp/0" "t/swamp/notaRakefile" 48
"t/swamp/0" "t/swamp/options.pl" 48
"t/swamp/0" "t/swamp/options.pl.bak" 48
"t/swamp/0" "t/swamp/parrot.pir" 48
"t/swamp/0" "t/swamp/perl-test.t" 48
"t/swamp/0" "t/swamp/perl-without-extension" 48
"t/swamp/0" "t/swamp/perl.cgi" 48
"t/swamp/0" "t/swamp/perl.pl" 48
"t/swamp/0" "t/swamp/perl.pm" 48
"t/swamp/0" "t/swamp/perl.pod" 48
"t/swamp/0" "t/swamp/pipe-stress-freaks.F" 48
"t/swamp/0" "t/swamp/sample.rake" 48
"t/swamp/Makefile.PL" "t/swamp/Rakefile" 48
"t/swamp/Makefile.PL" "t/swamp/c-header.h" 48
"t/swamp/Makefile.PL" "t/swamp/c-source.c" 48
"t/swamp/Makefile.PL" "t/swamp/crystallography-weenies.f" 48
"t/swamp/Makefile.PL" "t/swamp/file.bar" 48
"t/swamp/Makefile.PL" "t/swamp/file.foo" 48
"t/swamp/Makefile.PL" "t/swamp/groceries/CVS/fruit" 48
"t/swamp/Makefile.PL" "t/swamp/groceries/CVS/junk" 48
"t/swamp/Makefile.PL" "t/swamp/groceries/CVS/meat" 48
"t/swamp/Makefile.PL" "t/swamp/groceries/RCS/fruit" 48
"t/swamp/Makefile.PL" "t/swamp/groceries/RCS/junk" 48
"t/swamp/Makefile.PL" "t/swamp/groceries/RCS/meat" 48
"t/swamp/Makefile.PL" "t/swamp/groceries/another_subdir/CVS/fruit" 48
"t/swamp/Makefile.PL" "t/swamp/groceries/another_subdir/CVS/junk" 48
"t/swamp/Makefile.PL" "t/swamp/groceries/another_subdir/CVS/meat" 48
"t/swamp/Makefile.PL" "t/swamp/groceries/another_subdir/RCS/fruit" 48
"t/swamp/Makefile.PL" "t/swamp/groceries/another_subdir/RCS/junk" 48
"t/swamp/Makefile.PL" "t/swamp/groceries/another_subdir/RCS/meat" 48
"t/swamp/Makefile.PL" "t/swamp/groceries/another_subdir/fruit" 48
"t/swamp/Makefile.PL" "t/swamp/groceries/another_subdir/junk" 48
"t/swamp/Makefile.PL" "t/swamp/groceries/another_subdir/meat" 48
"t/swamp/Makefile.PL" "t/swamp/groceries/fruit" 48
"t/swamp/Makefile.PL" "t/swamp/groceries/junk" 48
"t/swamp/Makefile.PL" "t/swamp/groceries/meat" 48
"t/swamp/Makefile.PL" "t/swamp/groceries/subdir/fruit" 48
"t/swamp/Makefile.PL" "t/swamp/groceries/subdir/junk" 48
"t/swamp/Makefile.PL" "t/swamp/groceries/subdir/meat" 48
"t/swamp/Makefile.PL" "t/swamp/html.htm" 48
"t/swamp/Makefile.PL" "t/swamp/html.html" 48
"t/swamp/Makefile.PL" "t/swamp/incomplete-last-line.txt" 48
"t/swamp/Makefile.PL" "t/swamp/javascript.js" 48
"t/swamp/Makefile.PL" "t/swamp/not-an-#emacs-workfile#" 48
"t/swamp/Makefile.PL" "t/swamp/notaMakefile" 48
"t/swamp/Makefile.PL" "t/swamp/notaRakefile" 48
"t/swamp/Makefile.PL" "t/swamp/options.pl" 48
"t/swamp/Makefile.PL" "t/swamp/options.pl.bak" 48
"t/swamp/Makefile.PL" "t/swamp/parrot.pir" 48
"t/swamp/Makefile.PL" "t/swamp/perl-test.t" 48
"t/swamp/Makefile.PL" "t/swamp/perl-without-extension" 48
"t/swamp/Makefile.PL" "t/swamp/perl.cgi" 48
"t/swamp/Makefile.PL" "t/swamp/perl.pl" 48
"t/swamp/Makefile.PL" "t/swamp/perl.pm" 48
"t/swamp/Makefile.PL" "t/swamp/perl.pod" 48
"t/swamp/Makefile.PL" "t/swamp/pipe-stress-freaks.F" 48
"t/swamp/Makefile.PL" "t/swamp/sample.rake" 48
"t/swamp/Rakefile" "t/swamp/c-header.h" 48
"t/swamp/Rakefile" "t/swamp/c-source.c" 48
"t/swamp/Rakefile" "t/swamp/crystallography-weenies.f" 48
"t/swamp/Rakefile" "t/swamp/file.bar" 48
"t/swamp/Rakefile" "t/swamp/file.foo" 48
"t/swamp/Rakefile" "t/swamp/groceries/CVS/fruit" 48
"t/swamp/Rakefile" "t/swamp/groceries/CVS/junk" 48
"t/swamp/Rakefile" "t/swamp/groceries/CVS/meat" 48
"t/swamp/Rakefile" "t/swamp/groceries/RCS/fruit" 48
"t/swamp/Rakefile" "t/swamp/groceries/RCS/junk" 48
"t/swamp/Rakefile" "t/swamp/groceries/RCS/meat" 48
"t/swamp/Rakefile" "t/swamp/groceries/another_subdir/CVS/fruit" 48
"t/swamp/Rakefile" "t/swamp/groceries/another_subdir/CVS/junk" 48
"t/swamp/Rakefile" "t/swamp/groceries/another_subdir/CVS/meat" 48
"t/swamp/Rakefile" "t/swamp/groceries/another_subdir/RCS/fruit" 48
"t/swamp/Rakefile" "t/swamp/groceries/another_subdir/RCS/junk" 48
"t/swamp/Rakefile" "t/swamp/groceries/another_subdir/RCS/meat" 48
"t/swamp/Rakefile" "t/swamp/groceries/another_subdir/fruit" 48
"t/swamp/Rakefile" "t/swamp/groceries/another_subdir/junk" 48
"t/swamp/Rakefile" "t/swamp/groceries/another_subdir/meat" 48
"t/swamp/Rakefile" "t/swamp/groceries/fruit" 48
"t/swamp/Rakefile" "t/swamp/groceries/junk" 48
"t/swamp/Rakefile" "t/swamp/groceries/meat" 48
"t/swamp/Rakefile" "t/swamp/groceries/subdir/fruit" 48
