file,commits
Source/Math/CPUSparseMatrix.cpp, 94
Math/Math/CPUSparseMatrix.h, 94
Source/Math/GPUSparseMatrix.h, 93
Tests/EndToEndTests/run-test-common, 92
bindings/python/cntk/io/__init__.py, 92
MachineLearning/CNTK/SynchronousExecutionEngine.h, 92
DataReader/HTKMLFReader/utterancesourcemulti.h, 91
Source/ComputationNetworkLib/ReshapingNodes.cpp, 91
Source/CNTKv2LibraryDll/PrimitiveFunction.cpp, 91
MachineLearning/CNTKSGDLib/MultiNetworksSGD.h, 91
Source/Readers/HTKMLFReader/HTKMLFReader.cpp, 88
Source/SGDLib/DataReaderHelpers.h, 88
bindings/python/setup.py, 86
Common/DataReader.cpp, 86
DataReader/Kaldi2Reader/HTKMLFReader.cpp, 85
contrib/Python/cntk/ops/tests/linear_test.py, 85
Source/Math/TensorView.h, 85
Source/Readers/ReaderLib/ReaderLib.vcxproj, 84
Tests/UnitTests/ReaderTests/ReaderLibTests.cpp, 83
MachineLearning/CNTK/SimpleNetworkBuilder.h, 83
Common/Include/Basics.h, 83
Source/ActionsLib/ActionsLib.vcxproj, 82
bindings/python/cntk/ops/variables.py, 82
Source/ActionsLib/EvalActions.cpp, 82
Source/Readers/ReaderLib/DataDeserializer.h, 82
MachineLearning/CNTK/MultiNetworksSGD.h, 82
contrib/Python/cntk/ops/tests/non_linear_test.py, 81
DataReader/LUSequenceReader/LUSequenceReader.h, 80
Tests/UnitTests/ReaderTests/Common/ReaderTestHelper.h, 80
Source/CNTKv2LibraryDll/Function.h, 79
Source/CNTKv2LibraryDll/CompositeFunction.cpp, 79
DataReader/ImageReader/ImageReader.cpp, 79
Math/Math/CommonMatrix.h, 78
BrainScript/BrainScriptEvaluator.cpp, 78
MachineLearning/CNTK/NonlinearityNodes.h, 78
Math/Math/CuDnnConvolutionEngine.cpp, 77
Tests/UnitTests/MathTests/GPUSparseMatrixTests.cpp, 76
MachineLearning/CNTKSGDLib/SimpleEvaluator.h, 76
DataReader/LMSequenceReader/SequenceReader.h, 76
Source/CNTKv2LibraryDll/Utils.h, 76
Source/EvalDll/EvalDll.vcxproj, 76
MachineLearning/CNTK/InputAndParamNodes.h, 75
Source/Common/Include/MultiversoWrapper.h, 74
Source/CNTKv2LibraryDll/CNTKv2LibraryDll.vcxproj, 74
Examples/LanguageUnderstanding/ATIS/Python/LanguageUnderstanding.py, 74
Source/CNTKv2LibraryDll/BackCompat.cpp, 73
Source/ActionsLib/NetworkDescriptionLanguage.cpp, 73
Tests/UnitTests/ReaderTests/ReaderTests.vcxproj.filters, 73
MachineLearning/CNTK/SimpleEvaluator.h, 73
Source/Readers/CNTKTextFormatReader/TextParser.cpp, 73
Math/Math/ConvolutionEngine.cpp, 72
Source/Readers/HTKMLFReader/utterancesourcemulti.h, 71
MachineLearning/CNTKComputationNetworkLib/ComputationNetworkBuilder.cpp, 71
MachineLearning/cn/SimpleNetworkBuilder.cpp, 71
bindings/python/examples/CifarResNet/CifarResNet.py, 71
Math/Math/CNTKMathCUDA.vcxproj, 71
Examples/Image/Classification/ConvNet/Python/ConvNet_CIFAR10_DataAug_Distributed.py, 71
MachineLearning/CNTKComputationNetworkLib/NetworkBuilderFromConfig.cpp, 71
Source/Readers/ExperimentalHTKMLFReader/HTKDataDeserializer.cpp, 71
Common/Include/fileutil.h, 70
Source/Readers/ExperimentalHTKMLFReader/MLFDataDeserializer.cpp, 70
DataReader/UCIFastReader/UCIFastReader.cpp, 69
Source/Common/Include/DataReader.h, 69
Source/CNTK/BrainScript/ExperimentalNetworkBuilder.cpp, 69
Tests/EndToEndTests/TestDriver.py, 69
Source/Readers/ImageReader/ImageTransformers.cpp, 69
Source/SGDLib/SimpleDistGradAggregator.h, 68
CNTK.Cpp.props, 68
Tools/make_binary_drop_windows.ps1, 67
contrib/Python/cntk/examples/LogReg/logreg.py, 67
Source/Common/Include/MPIWrapper.h, 66
MachineLearning/CNTKComputationNetworkLib/ComputationNode.cpp, 66
