Id,Label,timeset,indegree,outdegree,degree,modularity_class,clustering,eigencentrality,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,pageranks
n193,lib/Set.pod,,5,0,5,1,0.2,0.000322,9,0,9,7,0.180825,0.195624,2622,0,0.001013
n194,lib/Mix.pod,,0,3,3,1,0.5,0.000167,0,5,5,8,0.153215,0.161899,0,0,0.000768
n195,lib/MixHash.pod,,1,2,3,1,0.5,0.000167,2,3,5,8,0.153215,0.161899,0,0,0.000768
n196,lib/Mixy.pod,,2,1,3,1,0.5,0.000167,4,1,5,8,0.153215,0.161899,0,0,0.000768
n197,lib/Bag.pod,,0,2,2,1,0.5,0.000162,0,6,6,7,0.180713,0.193913,0,0,0.000372
n198,lib/QuantHash.pod,,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0
n199,lib/BagHash.pod,,0,3,3,76,0.5,0.000164,0,3,3,1,1,1,0,15,0.001053
n200,lib/Baggy.pod,,1,2,3,76,0.5,0.000164,1,2,3,1,1,1,0,15,0.001053
n201,lib/SetHash.pod,,2,1,3,76,0.5,0.000164,2,1,3,1,1,1,0,15,0.001053
n202,lib/Setty.pod,,3,0,3,76,0.5,0.000164,3,0,3,1,1,1,0,15,0.001053
n203,WANTED,,0,13,13,80,0.166667,0.006229,0,14,14,7,0.24395,0.292491,55.736581,0,0.000423
n204,lib/regexes.pod,,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0
n205,lib/IO/FileTestable.pod,,1,2,3,95,0.5,0.00033,1,2,3,5,0.317294,0.327936,0,0,0.000429
n206,lib/IO/Handle.pod,,2,1,3,95,0.5,0.00033,2,1,3,5,0.317294,0.327936,0,0,0.000429
n207,html/css/style.css,,8,22,30,95,0.154023,0.005008,39,45,84,6,0.367253,0.400342,5921.61125,0,0.001766
n208,lib/modules.pod,,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0
n209,sketch/app.pl,,0,7,7,79,0.380952,0.000407,0,8,8,1,1,1,2.5,16,0.001277
