Id,Label,timeset,indegree,outdegree,degree,modularity_class,clustering,eigencentrality,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,pageranks
n340,lib/Language/quoting.pod,,10,3,13,80,0.5,0.003229,13,5,18,6,0.33861,0.367731,0,0,0.000547
n341,lib/Type/X/Obsolete.pod,,41,45,86,80,0.488782,0.068754,42,45,87,6,0.353629,0.415222,4383.443215,0,0.000964
n342,lib/Language/grammars.pod,,8,95,103,80,0.367219,0.072952,11,103,114,6,0.36618,0.438902,8286.899271,0,0.001553
n343,index.p6,,1,0,1,95,0,0.000076,1,0,1,5,0.256358,0.265203,0,0,0.000224
n344,lib/Language/traps.pod,,1,1,2,80,0.5,0.001155,1,1,2,7,0.239945,0.2801,0,0,0.000212
n345,bin/p6doc-index,,4,7,11,95,0.290909,0.005572,8,10,18,5,0.381636,0.405625,2319.636071,0,0.000665
n346,lib/Type/IO/Path.pod,,26,32,58,80,0.456443,0.040803,35,32,67,6,0.347189,0.397339,4259.144552,0,0.000787
n347,lib/Language/functions.pod,,1,11,12,80,0.159091,0.004838,1,12,13,6,0.286789,0.326986,320.475167,0,0.000622
n348,lib/Type/X/Syntax/Term/MissingInitializer.pod,,86,12,98,80,0.443089,0.078109,89,12,101,6,0.35607,0.423014,5040.167133,0,0.001077
n349,lib/Type/X/Syntax/Regex/SolitaryQuantifier.pod,,70,16,86,80,0.488782,0.068754,70,16,86,6,0.353629,0.415222,4383.443215,0,0.000964
n350,lib/Language/mop.pod,,3,2,5,80,0.4,0.001817,3,2,5,6,0.336273,0.361365,118.810551,0,0.000304
n351,lib/Type/Metamodel/Naming.pod,,24,50,74,80,0.5,0.042518,28,62,90,7,0.294197,0.363528,0,0,0.000913
n352,lib/Type/Metamodel/C3MRO.pod,,18,56,74,80,0.5,0.042518,21,69,90,7,0.294197,0.363528,0,0,0.000913
n353,lib/Type/AST.pod,,0,54,54,80,0.5,0.038644,0,54,54,7,0.291847,0.351366,0,0,0.00068
n354,lib/Type/Array.pod,,2,52,54,80,0.5,0.038644,2,53,55,7,0.291847,0.351366,0,0,0.00068
n355,lib/Type/Block.pod,,6,48,54,80,0.5,0.038644,6,48,54,7,0.291847,0.351366,0,0,0.00068
n356,lib/Type/Bool.pod,,7,47,54,80,0.5,0.038644,7,47,54,7,0.291847,0.351366,0,0,0.00068
n357,lib/Type/Cool.pod,,22,49,71,80,0.320322,0.04361,23,51,74,6,0.354773,0.410148,5979.278442,0,0.001167
n358,lib/Type/Cursor.pod,,13,41,54,80,0.5,0.038644,13,41,54,7,0.291847,0.351366,0,0,0.00068
n359,lib/Type/Duration.pod,,15,39,54,80,0.5,0.038644,15,39,54,7,0.291847,0.351366,0,0,0.00068
n360,lib/Type/FatRat.pod,,20,34,54,80,0.5,0.038644,20,34,54,7,0.291847,0.351366,0,0,0.00068
n361,lib/Type/Instant.pod,,24,30,54,80,0.5,0.038644,24,30,54,7,0.291847,0.351366,0,0,0.00068
n362,lib/Type/Junction.pod,,27,27,54,80,0.5,0.038644,27,27,54,7,0.291847,0.351366,0,0,0.00068
n363,lib/Type/Macro.pod,,29,25,54,80,0.5,0.038644,29,25,54,7,0.291847,0.351366,0,0,0.00068
n364,lib/Type/Method.pod,,31,23,54,80,0.5,0.038644,31,23,54,7,0.291847,0.351366,0,0,0.00068
n365,lib/Type/Num.pod,,34,20,54,80,0.5,0.038644,34,20,54,7,0.291847,0.351366,0,0,0.00068
n366,lib/Type/ObjAt.pod,,35,19,54,80,0.5,0.038644,35,19,54,7,0.291847,0.351366,0,0,0.00068
n367,lib/Type/Parcel.pod,,38,16,54,80,0.5,0.038644,38,16,54,7,0.291847,0.351366,0,0,0.00068
n368,lib/Type/Pod/Block/Para.pod,,71,47,118,80,0.316891,0.070628,78,50,128,7,0.298807,0.388994,160.039801,0,0.001347
n369,lib/Type/QuantHash.pod,,79,39,118,80,0.316891,0.070628,95,49,144,7,0.298807,0.388994,160.039801,0,0.001347
n370,lib/Type/Rat.pod,,46,8,54,80,0.5,0.038644,46,8,54,7,0.291847,0.351366,0,0,0.00068
n371,lib/Type/Sub.pod,,51,3,54,80,0.5,0.038644,51,3,54,7,0.291847,0.351366,0,0,0.00068
n372,lib/Type/WhateverCode.pod,,54,0,54,80,0.5,0.038644,54,0,54,7,0.291847,0.351366,0,0,0.00068
n373,lib/Type/Callable.pod,,4,71,75,80,0.49009,0.043288,4,73,77,7,0.294295,0.364098,2.70342,0,0.000921
n374,lib/Type/Associative.pod,,0,86,86,80,0.413133,0.052691,0,105,105,7,0.295485,0.37056,36.267123,0,0.001021
n375,lib/Type/Iterable.pod,,15,62,77,80,0.469925,0.044303,17,77,94,7,0.294493,0.365239,154.368505,0,0.000974
n376,lib/Type/Stringy.pod,,50,24,74,80,0.5,0.042518,61,29,90,7,0.294197,0.363528,0,0,0.000913
n377,lib/Type/X/IO.pod,,60,14,74,80,0.5,0.042518,72,18,90,7,0.294197,0.363528,0,0,0.000913
n378,lib/Type/X/Pod.pod,,63,11,74,80,0.5,0.042518,77,13,90,7,0.294197,0.363528,0,0,0.000913
n379,lib/Type/X/Syntax.pod,,70,4,74,80,0.5,0.042518,85,5,90,7,0.294197,0.363528,0,0,0.000913
n380,lib/Type/X/Temporal.pod,,73,1,74,80,0.5,0.042518,89,1,90,7,0.294197,0.363528,0,0,0.000913
n381,lib/Type/X/Constructor/Positional.pod,,15,70,85,80,0.5,0.068539,15,70,85,7,0.296986,0.371149,0,0,0.000917
n382,lib/Type/X/ControlFlow/Return.pod,,17,68,85,80,0.5,0.068539,17,68,85,7,0.296986,0.371149,0,0,0.000917
n383,lib/Type/X/Declaration/Scope/Multi.pod,,19,66,85,80,0.5,0.068539,19,66,85,7,0.296986,0.371149,0,0,0.000917
n384,lib/Type/X/IO/Chmod.pod,,23,62,85,80,0.5,0.068539,23,62,85,7,0.296986,0.371149,0,0,0.000917
n385,lib/Type/X/IO/Cwd.pod,,29,60,89,80,0.474081,0.070859,30,62,92,7,0.297692,0.374,19.659842,0,0.000991
n386,lib/Type/X/Placeholder/Mainline.pod,,52,33,85,80,0.5,0.068539,52,33,85,7,0.296986,0.371149,0,0,0.000917
n387,lib/Type/X/Sequence/Deduction.pod,,55,30,85,80,0.5,0.068539,55,30,85,7,0.296986,0.371149,0,0,0.000917
n388,lib/Type/X/Syntax/Augment/WithoutMonkeyTyping.pod,,63,25,88,80,0.467999,0.069787,67,26,93,7,0.29749,0.373239,28.087686,0,0.000952
n389,lib/Type/X/Syntax/Comment/Embedded.pod,,61,24,85,80,0.5,0.068539,61,24,85,7,0.296986,0.371149,0,0,0.000917
n390,lib/Type/X/Syntax/Confused.pod,,62,23,85,80,0.5,0.068539,62,23,85,7,0.296986,0.371149,0,0,0.000917
n391,lib/Type/X/Syntax/P5.pod,,68,17,85,80,0.5,0.068539,68,17,85,7,0.296986,0.371149,0,0,0.000917
n392,lib/Type/X/Syntax/Self/WithoutObject.pod,,72,13,85,80,0.5,0.068539,72,13,85,7,0.296986,0.371149,0,0,0.000917
n393,lib/Type/X/Syntax/Signature/InvocantMarker.pod,,73,12,85,80,0.5,0.068539,73,12,85,7,0.296986,0.371149,0,0,0.000917
n394,lib/Type/X/Syntax/UnlessElse.pod,,75,10,85,80,0.5,0.068539,75,10,85,7,0.296986,0.371149,0,0,0.000917
n395,lib/Type/X/Syntax/Variable/Match.pod,,76,9,85,80,0.5,0.068539,76,9,85,7,0.296986,0.371149,0,0,0.000917
n396,lib/Type/X/TypeCheck/Assignment.pod,,81,4,85,80,0.5,0.068539,81,4,85,7,0.296986,0.371149,0,0,0.000917
n397,lib/Type/X/TypeCheck/Binding.pod,,82,3,85,80,0.5,0.068539,82,3,85,7,0.296986,0.371149,0,0,0.000917
n398,lib/Type/X/TypeCheck/Return.pod,,83,2,85,80,0.5,0.068539,83,2,85,7,0.296986,0.371149,0,0,0.000917
n399,lib/Type/Stash.pod,,49,25,74,80,0.5,0.042518,49,25,74,7,0.294197,0.363528,0,0,0.000913
n400,lib/Language/setbagmix.pod,,4,17,21,80,0.252381,0.009585,4,17,21,5,0.305575,0.347301,4045.987434,0,0.000624
n401,lib/Type/BagHash.pod,,2,7,9,80,0.5,0.005625,2,7,9,6,0.245178,0.285291,0,0,0.000294
n402,lib/Type/MixHash.pod,,5,4,9,80,0.5,0.005625,5,4,9,6,0.245178,0.285291,0,0,0.000294
n403,lib/Type/SetHash.pod,,8,1,9,80,0.5,0.005625,8,1,9,6,0.245178,0.285291,0,0,0.000294
n404,util/new-type.p6,,17,1,18,95,0.212418,0.006598,19,1,20,5,0.387026,0.414937,3053.385477,0,0.000914
n405,lib/Type/Promise.pod,,47,40,87,80,0.403903,0.052756,50,41,91,7,0.295585,0.37113,252.735503,0,0.001074
n406,lib/Type/Channel.pod,,1,2,3,80,0.5,0.00195,1,3,4,8,0.235753,0.276981,0,0,0.000189
n407,lib/Type/Lock.pod,,4,0,4,80,0.5,0.002575,4,0,4,7,0.240868,0.281658,0,0,0.000199
n408,lib/Type/Supply.pod,,63,22,85,80,0.396359,0.046107,66,23,89,6,0.304831,0.377803,1052.429871,0,0.001192
n409,lib/Type/Tap.pod,,53,21,74,80,0.5,0.042518,54,21,75,7,0.294197,0.363528,0,0,0.000913
n410,lib/Type/Blob.pod,,4,72,76,80,0.480175,0.043757,4,72,76,7,0.294493,0.364859,8.129016,0,0.000936
n411,lib/Type/X/Syntax/Malformed.pod,,72,2,74,80,0.5,0.042518,72,2,74,7,0.294197,0.363528,0,0,0.000913
n412,lib/Type/Metamodel/Trusting.pod,,28,46,74,80,0.5,0.042518,28,46,74,7,0.294197,0.363528,0,0,0.000913
n413,lib/Type/X/Syntax/AddCategorial/MissingSeparator.pod,,82,5,87,80,0.404571,0.052905,85,5,90,6,0.352067,0.415013,4321.084929,0,0.001067
n414,lib/Type/Metamodel/Finalization.pod,,20,54,74,80,0.5,0.042518,20,54,74,7,0.294197,0.363528,0,0,0.000913
n415,lib/Type/Metamodel/RoleContainer.pod,,27,47,74,80,0.5,0.042518,27,47,74,7,0.294197,0.363528,0,0,0.000913
n416,lib/Type/Metamodel/Primitives.pod,,26,49,75,80,0.487207,0.042648,27,49,76,7,0.296184,0.366664,82.368327,0,0.000946
n417,lib/Type/Metamodel/ClassHOW.pod,,20,55,75,80,0.487928,0.043156,21,57,78,7,0.295884,0.366189,34.053296,0,0.000925
n418,lib/Type/Metamodel/AttributeContainer.pod,,18,57,75,80,0.487928,0.043156,18,60,78,7,0.295884,0.366189,34.053296,0,0.000925
n419,lib/Type/Metamodel/MethodContainer.pod,,24,52,76,80,0.475789,0.043286,26,54,80,7,0.296384,0.367424,116.421624,0,0.000959
n420,lib/Type/Metamodel/MultipleInheritance.pod,,24,52,76,80,0.476316,0.04337,27,53,80,6,0.351926,0.410072,3738.143126,0,0.000972
n421,lib/Type/Label.pod,,17,63,80,80,0.439715,0.045295,18,63,81,7,0.29479,0.366949,334.250667,0,0.001098
n422,lib/Type/Metamodel/PrivateMethodContainer.pod,,26,48,74,80,0.5,0.042518,26,48,74,7,0.294197,0.363528,0,0,0.000913
n423,lib/Type/Submethod.pod,,51,23,74,80,0.5,0.042518,51,23,74,7,0.294197,0.363528,0,0,0.000913
n424,lib/Type/Variable.pod,,4,0,4,80,0.25,0.001697,4,0,4,6,0.34582,0.374857,840.156015,0,0.000275
n425,lib/Type/Metamodel/MROBasedMethodDispatch.pod,,21,53,74,80,0.5,0.042518,21,53,74,7,0.294197,0.363528,0,0,0.000913
n426,lib/Type/Proc/Status.pod,,41,33,74,80,0.5,0.042518,42,33,75,7,0.294197,0.363528,0,0,0.000913
n427,lib/Type/X/Assignment/RO.pod,,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0
n428,README.md,,2,22,24,95,0.20471,0.007716,3,27,30,5,0.390994,0.420924,4478.427682,0,0.00111
n429,lib/Type/Proc/Async.pod,,40,34,74,80,0.5,0.042518,41,39,80,7,0.294197,0.363528,0,0,0.000913
n430,lib/Type/X/Proc/Async/TapBeforeSpawn.pod,,69,5,74,80,0.5,0.042518,70,5,75,7,0.294197,0.363528,0,0,0.000913
n431,lib/Type/X/Proc/Async/AlreadyStarted.pod,,65,9,74,80,0.5,0.042518,66,9,75,7,0.294197,0.363528,0,0,0.000913
n432,lib/Type/X/Proc/Async/MustBeStarted.pod,,69,9,78,80,0.457875,0.045018,71,10,81,7,0.296284,0.368089,59.595447,0,0.000957
n433,lib/Type/X/Proc/Async/OpenForWriting.pod,,68,6,74,80,0.5,0.042518,70,6,76,7,0.294197,0.363528,0,0,0.000913
n434,lib/Type/X/Proc/Async/CharsOrBytes.pod,,66,8,74,80,0.5,0.042518,67,8,75,7,0.294197,0.363528,0,0,0.000913
n435,html/css/pygments.css,,5,3,8,95,0.303571,0.000811,5,3,8,6,0.324815,0.344565,430.161282,0,0.000839
n436,lib/Type/X/Bind.pod,,55,19,74,80,0.5,0.042518,55,19,74,7,0.294197,0.363528,0,0,0.000913
n437,lib/Type/X/Bind/Slice.pod,,56,18,74,80,0.5,0.042518,56,18,74,7,0.294197,0.363528,0,0,0.000913
n438,util/missing-methods.p6,,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0
n439,util/update-and-sync,,26,0,26,95,0.298462,0.004627,27,0,27,6,0.332197,0.36393,306.546186,0,0.00102
n440,util/sync-build-log,,1,1,2,95,0.5,0.000445,1,1,2,6,0.321835,0.33894,0,0,0.000231
n441,lib/Type/X/Does/TypeObject.pod,,59,15,74,80,0.5,0.042518,59,15,74,7,0.294197,0.363528,0,0,0.000913
n442,lib/Type/X/Inheritance/NotComposed.pod,,61,14,75,80,0.487748,0.042732,62,14,76,6,0.35024,0.407982,3704.089829,0,0.000959
n443,lib/Language/5to6.pod,,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0
n444,lib/Type/Dateish.pod,,12,68,80,80,0.44019,0.045981,12,69,81,7,0.296484,0.36923,138.464204,0,0.000994
n445,lib/Language/unicode_entry.pod,,7,1,8,80,0.285714,0.001217,7,1,8,6,0.276656,0.304371,32.204638,0,0.000588
n446,lib/Language/io.pod,,0,5,5,80,0.45,0.002841,0,6,6,6,0.33666,0.362182,0.021739,0,0.000249
n447,lib/Type/DateTime.pod,,8,67,75,80,0.487568,0.04262,8,67,75,7,0.294295,0.364098,53.079716,0,0.00094
n448,lib/Type/X/Proc/Async.pod,,64,11,75,80,0.487748,0.042732,64,11,75,6,0.35024,0.407982,3704.089829,0,0.000959
n449,lib/Language/about.pod,,0,4,4,80,0.5,0.000908,0,4,4,7,0.271097,0.298306,0,0,0.000311
n450,lib/Type/nativeInt.pod,,75,1,76,80,0.475088,0.043062,75,1,76,6,0.374466,0.432744,14997.964966,0,0.000998
n451,lib/Language/testing.pod,,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0
n452,t/pod-convenience.t,,2,14,16,144,0.5,0.002611,2,16,18,6,0.299011,0.323147,0,0,0.000774
n453,lib/Type/Thread.pod,,3,1,4,80,0.333333,0.001469,3,1,4,7,0.27544,0.309651,10.092243,0,0.000265
n454,lib/Pod/Htmlify.pm6,,4,4,8,95,0.25,0.000889,18,13,31,6,0.329328,0.350456,100.076703,0,0.000681
n455,t/pod-htmlify.t,,5,13,18,144,0.398693,0.003005,7,13,20,6,0.347602,0.372862,1094.088499,0,0.000886
n456,Makefile,,3,13,16,95,0.15,0.006407,4,18,22,6,0.372874,0.402338,2373.942085,0,0.001229
n457,CONTRIBUTING.md,,3,59,62,144,0.130354,0.11285,3,92,95,6,0.411544,0.461631,23510.080036,0,0.002089
n458,lib/Type/CurrentThreadScheduler.pod,,7,69,76,80,0.475088,0.042679,7,70,77,7,0.294394,0.364669,471.217246,0,0.000999
n459,lib/Type/Scheduler.pod,,48,28,76,80,0.475088,0.042679,49,28,77,7,0.294394,0.364669,471.217246,0,0.000999
n460,lib/Type/ThreadPoolScheduler.pod,,3,0,3,80,0.5,0.000919,3,0,3,8,0.22797,0.255126,0,0,0.000208
n461,lib/Type/IO/Socket.pod,,14,62,76,80,0.475088,0.042685,14,64,78,7,0.294394,0.364669,260.428568,0,0.000986
n462,lib/Type/IO/Socket/INET.pod,,3,1,4,80,0.166667,0.001802,4,1,5,8,0.236516,0.278406,0.466113,0,0.000216
n463,lib/Language/nativecall.pod,,1,4,5,80,0.3,0.000728,1,4,5,6,0.274835,0.29905,35.88401,0,0.000432
n464,bin/p6doc.bat,,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0
n465,lib/Type/PairMap.pod,,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0
n466,lib/Language/syntax.pod,,4,3,7,80,0.238095,0.001331,5,3,8,6,0.279923,0.310927,100.102561,0,0.000602
n467,lib/Language/exceptions.pod,,1,0,1,80,0,0.000057,1,0,1,8,0.20866,0.21712,0,0,0.000285
n468,lib/Language/control.pod,,1,4,5,80,0.35,0.00038,1,5,6,6,0.268442,0.284987,18.590964,0,0.000531
n469,lib/Language/concurrency.pod,,0,4,4,80,0.083333,0.000308,0,4,4,7,0.263601,0.281012,877.065521,0,0.000598
n470,lib/Type/Proxy.pod,,45,31,76,80,0.474737,0.042679,45,31,76,7,0.294691,0.365239,259.733644,0,0.001013
n471,lib/Type/X/Promise/CauseOnlyValidOnBroken.pod,,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0
n472,lib/Type/X/StubCode.pod,,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0
n473,lib/Type/IO/Spec.pod,,0,4,4,92,0.5,0.000224,0,4,4,1,1,1,0,17,0.001053
n474,lib/Type/Proc.pod,,39,35,74,80,0.5,0.042518,39,36,75,7,0.294197,0.363528,0,0,0.000913
n475,lib/Type/IO/Socket/Async.pod,,14,61,75,80,0.486847,0.042583,15,61,76,7,0.294295,0.364098,207.348852,0,0.000958
n476,lib/Type/IO/Pipe.pod,,12,62,74,80,0.5,0.042518,12,62,74,7,0.294197,0.363528,0,0,0.000913
n477,lib/Type/IO/Notification.pod,,11,63,74,80,0.5,0.042518,11,63,74,7,0.294197,0.363528,0,0,0.000913
n478,lib/Type/IO/ArgFiles.pm,,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0
n479,lib/Language/subscripting.pod,,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0
n480,lib/Type/X/Channel/SendOnClosed.pod,,58,17,75,80,0.487748,0.042732,58,17,75,6,0.35024,0.407982,3704.089829,0,0.000959
n481,lib/Type/X/Channel/ReceiveOnClosed.pod,,58,17,75,80,0.487027,0.042583,58,17,75,7,0.294295,0.364098,162.675617,0,0.000966
n482,lib/Language/subscripts.pod,,5,6,11,80,0.5,0.003974,6,7,13,6,0.296584,0.334474,0,0,0.000418
n483,lib/Language/5to6-perlfunc.pod,,0,3,3,80,0.5,0.000201,0,4,4,7,0.229101,0.24631,0,0,0.00048
n484,lib/Language/5to6-perlop.pod,,1,13,14,80,0.318681,0.004135,2,13,15,6,0.296886,0.336184,2622,0,0.00081
n485,lib/Language/5to6-perlsyn.pod,,2,1,3,80,0.5,0.000201,2,1,3,7,0.229101,0.24631,0,0,0.00048
n486,lib/Language/5to6-perlvar.pod,,3,0,3,80,0.5,0.000201,3,0,3,7,0.229101,0.24631,0,0,0.00048
n487,html/css/custom-theme/jquery-ui.css,,1,5,6,95,0.433333,0.00047,1,6,7,6,0.276047,0.290023,34.097185,0,0.000652
n488,html/js/jquery-1.11.3.min.js,,1,3,4,95,0.5,0.00028,1,4,5,6,0.253322,0.264709,0,0,0.00051
n489,html/js/jquery-ui.min.js,,4,2,6,95,0.433333,0.00047,5,2,7,6,0.276047,0.290023,34.097185,0,0.000652
n490,lib/Type/Temporal.pod,,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0
n491,lib/Type/IO/Spec/Cygwin.pod,,1,3,4,92,0.5,0.000224,1,6,7,1,1,1,0,17,0.001053
n492,lib/Type/IO/Spec/QNX.pod,,2,2,4,92,0.5,0.000224,3,4,7,1,1,1,0,17,0.001053
n493,lib/Type/IO/Spec/Unix.pod,,3,1,4,92,0.5,0.000224,5,2,7,1,1,1,0,17,0.001053
n494,lib/Type/IO/Spec/Win32.pod,,4,0,4,92,0.5,0.000224,7,0,7,1,1,1,0,17,0.001053
n495,lib/Type/Seq.pod,,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0
n496,lib/Type/PositionalBindFailover.pod,,1,1,2,95,0.5,0.000618,1,1,2,6,0.321363,0.337666,0,0,0.000218
n497,lib/Type/Slip.pod,,0,1,1,95,0,0.000217,0,1,1,6,0.311656,0.322976,0,0,0.000204
n498,doc/Type/Mu.pod,,48,20,68,95,0.332748,0.013079,70,27,97,6,0.342044,0.393025,618.514552,0,0.001962
n499,doc/Type/Nil.pod,,33,10,43,95,0.39258,0.008313,43,11,54,7,0.28474,0.327667,14.802437,0,0.001205
n500,doc/Type/Numeric.pod,,2,0,2,95,0.5,0.000319,2,0,2,7,0.270512,0.287207,0,0,0.000211
n501,doc/Type/Proc/Async.pod,,0,1,1,94,0,0.000052,0,1,1,1,1,1,0,18,0.001053
n502,doc/Type/Proc/Status.pod,,1,0,1,94,0,0.000052,1,0,1,1,1,1,0,18,0.001053
n503,doc/Type/Int.pod,,42,22,64,95,0.3812,0.012878,53,25,78,6,0.340715,0.389605,753.985864,0,0.001775
n504,html/js/main.js,,5,3,8,95,0.339286,0.001248,11,6,17,6,0.31984,0.338331,104.195521,0,0.000671
n505,doc/Type/List.pod,,55,42,97,95,0.236899,0.018381,96,55,151,6,0.374947,0.43569,4956.854218,0,0.002587
n506,doc/Language/modules.pod,,19,89,108,95,0.192714,0.018177,39,139,178,6,0.375107,0.440251,8539.577711,0,0.003223
n507,doc/Type/IO/Handle.pod,,35,34,69,95,0.332907,0.014854,46,40,86,6,0.370042,0.419156,1402.939803,0,0.001877
n508,doc/Type/IO/Path.pod,,33,32,65,95,0.384615,0.013159,47,42,89,6,0.34098,0.390365,245.434791,0,0.001735
n509,doc/Type/IO/Socket/Async.pod,,38,33,71,95,0.34829,0.013956,56,44,100,6,0.342177,0.394356,399.15024,0,0.001908
n510,doc/Type/IO/Spec.pod,,15,12,27,95,0.485755,0.005504,16,18,34,7,0.282721,0.317405,0.447658,0,0.000806
n511,doc/Type/IO/Spec/Cygwin.pod,,16,11,27,95,0.485755,0.005504,19,15,34,7,0.282721,0.317405,0.447658,0,0.000806
n512,doc/Type/IO/Spec/QNX.pod,,17,10,27,95,0.485755,0.005504,22,12,34,7,0.282721,0.317405,0.447658,0,0.000806
n513,doc/Language/traps.pod,,22,65,87,95,0.274258,0.015742,42,87,129,6,0.344192,0.403288,1039.455203,0,0.002319
n514,.travis.yml,,1,9,10,136,0.266667,0.021789,1,9,10,6,0.326508,0.361574,490.48663,0,0.000429
n515,doc/Language/regexes.pod,,19,40,59,95,0.408533,0.012179,23,44,67,6,0.340715,0.387704,62.733974,0,0.001642
n516,doc/Type/Code.pod,,0,1,1,107,0,0.000052,0,1,1,1,1,1,0,19,0.001053
n517,doc/Type/Array.pod,,22,46,68,95,0.316725,0.01429,28,51,79,6,0.369886,0.418586,6493.229481,0,0.002102
n518,doc/Type/Routine.pod,,7,0,7,95,0.357143,0.001234,9,0,9,7,0.264955,0.288006,9.710084,0,0.000433
n519,Build.pm,,0,8,8,95,0.339286,0.005277,0,9,9,5,0.37688,0.399829,1329.092836,0,0.000538
n520,doc/Type/Str.pod,,65,23,88,95,0.262017,0.01573,91,25,116,6,0.344868,0.404618,1118.807108,0,0.002402
n521,doc/Language/5to6-perlvar.pod,,4,36,40,95,0.35641,0.00764,13,42,55,6,0.33435,0.372577,234.940576,0,0.001215
n522,doc/Language/5to6-perlfunc.pod,,1,60,61,95,0.271858,0.010136,3,94,97,7,0.286414,0.33793,128.505979,0,0.001723
n523,doc/Type/Supply.pod,,51,23,74,95,0.315624,0.013983,77,23,100,6,0.342578,0.396066,825.090152,0,0.002009
n524,doc/Language/operators.pod,,17,71,88,95,0.255878,0.015687,28,102,130,6,0.356794,0.414975,3300.222439,0,0.002494
n525,doc/Type/Associative.pod,,2,5,7,95,0.5,0.001324,2,5,7,6,0.329823,0.35076,0,0,0.000402
n526,doc/Type/Cool.pod,,24,34,58,95,0.394737,0.011841,27,38,65,6,0.352067,0.397301,1673.716457,0,0.001774
n527,doc/Type/Hash.pod,,32,39,71,95,0.313682,0.015046,51,48,99,6,0.374626,0.425333,2638.182115,0,0.002013
n528,doc/Type/Map.pod,,5,2,7,95,0.5,0.001324,5,2,7,6,0.329823,0.35076,0,0,0.000402
n529,doc/Type/Pod/Block.pod,,6,1,7,95,0.5,0.001324,6,1,7,6,0.329823,0.35076,0,0,0.000402
n530,doc/Language/objects.pod,,16,64,80,95,0.273418,0.016012,25,85,110,6,0.371768,0.425428,3720.061525,0,0.002353
n531,doc/Type/Attribute.pod,,3,6,9,95,0.416667,0.000931,3,6,9,7,0.27253,0.294334,8.88033,0,0.00064
n532,doc/Language/control.pod,,8,76,84,95,0.277826,0.01528,14,104,118,6,0.343787,0.401577,1134.317511,0,0.002302
n533,doc/Language/faq.pod,,11,44,55,95,0.274411,0.010118,17,60,77,6,0.358398,0.400893,1793.500031,0,0.001683
n534,doc/Type/DateTime.pod,,6,2,8,95,0.303571,0.00135,9,2,11,7,0.281451,0.307523,19.514849,0,0.000397
n535,doc/Language/syntax.pod,,17,13,30,95,0.256322,0.005028,20,14,34,6,0.333587,0.367636,429.905719,0,0.001148
n536,doc/Language/functions.pod,,10,86,96,95,0.240132,0.018265,18,134,152,6,0.374786,0.43512,4920.178694,0,0.002555
n537,doc/Language/nativecall.pod,,7,38,45,95,0.30404,0.007784,11,42,53,7,0.285111,0.329093,80.523442,0,0.001324
n538,doc/Language/quoting.pod,,9,23,32,95,0.38004,0.005256,11,23,34,7,0.283911,0.321776,38.238259,0,0.001007
n539,doc/Type/Iterator.pod,,8,18,26,95,0.5,0.004279,8,18,26,7,0.28263,0.316835,0,0,0.000825
n540,doc/Type/Metamodel/ClassHOW.pod,,23,25,48,95,0.304078,0.007971,30,26,56,7,0.284925,0.329948,1787.916753,0,0.001593
n541,doc/Type/Seq.pod,,28,18,46,95,0.328019,0.007822,36,18,54,7,0.28474,0.328808,151.175459,0,0.001377
n542,doc/Type/X/Attribute/Package.pod,,14,12,26,95,0.5,0.004279,14,12,26,7,0.28263,0.316835,0,0,0.000825
n543,doc/Type/X/Composition/NotComposable.pod,,15,11,26,95,0.5,0.004279,15,11,26,7,0.28263,0.316835,0,0,0.000825
n544,doc/Type/X/ControlFlow.pod,,16,10,26,95,0.5,0.004279,16,10,26,7,0.28263,0.316835,0,0,0.000825
n545,doc/Type/X/Declaration/Scope.pod,,17,9,26,95,0.5,0.004279,17,9,26,7,0.28263,0.316835,0,0,0.000825
n546,doc/Type/X/Declaration/Scope/Multi.pod,,18,8,26,95,0.5,0.004279,18,8,26,7,0.28263,0.316835,0,0,0.000825
n547,doc/Type/X/Inheritance/Unsupported.pod,,19,7,26,95,0.5,0.004279,19,7,26,7,0.28263,0.316835,0,0,0.000825
n548,doc/Type/X/Method/InvalidQualifier.pod,,20,6,26,95,0.5,0.004279,20,6,26,7,0.28263,0.316835,0,0,0.000825
n549,doc/Type/X/Mixin/NotComposable.pod,,21,5,26,95,0.5,0.004279,21,5,26,7,0.28263,0.316835,0,0,0.000825
n550,doc/Type/X/NoDispatcher.pod,,22,4,26,95,0.5,0.004279,22,4,26,7,0.28263,0.316835,0,0,0.000825
n551,doc/Type/X/Placeholder/Block.pod,,23,3,26,95,0.5,0.004279,23,3,26,7,0.28263,0.316835,0,0,0.000825
